Full Name,Gender,Date of Birth,University_Name,Current Academic Year,Cumulative Grade Point Average (GPA),Preferred Learning Style,Average Weekly Study Hours,Attendance Regularity,Parental Education Level,Monthly Household Income,Participation in Extracurricular Activities,Social Media Spending Time,Sleeping Hours
Norma Fisher,Female,10/29/1954,University of Jaffna,2nd,3.48,Kinesthetic,20.8,6,Bachelor's,High,No,1.43,7.71
Jorge Sullivan,Female,9/16/1932,University of Kelaniya,4th,2.58,Visual,22.05,1,Bachelor's,Medium,No,0.97,9.25
Elizabeth Woods,Female,5/9/1956,University of Jaffna,1st,2.79,Visual,10.41,4,Ph.D.,High,Yes,1.5,6.83
Susan Wagner,Female,11/4/1938,Rajarata University,4th,2.01,Auditory,24.1,8,Master's,Low,No,2.77,7.92
Peter Montgomery,Male,4/21/1964,Rajarata University,2nd,3.31,Auditory,21.13,2,High School,Low,Yes,4.94,5.01
Theodore Mcgrath,Female,7/16/1985,University of Kelaniya,3rd,3.43,Kinesthetic,5.21,6,High School,High,Yes,1.23,6.42
Stephanie Collins,Female,10/8/2010,Rajarata University,4th,3.32,Kinesthetic,23.28,1,High School,High,No,0.75,4.59
Stephanie Sutton,Female,10/5/1924,University of Moratuwa,2nd,3.99,Visual,10.43,1,Master's,High,No,2.95,7.71
Brian Hamilton,Male,10/29/2001,University of Colombo,4th,3.05,Visual,27.45,8,Master's,High,Yes,0.48,8.24
Susan Levy,Female,4/12/1996,University of Kelaniya,2nd,2.66,Auditory,10.78,5,Bachelor's,Low,No,2.36,8.25
Sean Green,Male,9/30/1980,Rajarata University,1st,3.01,Kinesthetic,16.09,9,Bachelor's,Medium,No,0.18,4.37
Kimberly Smith,Male,3/5/1930,Eastern University,4th,3.21,Auditory,27.88,9,High School,High,No,1.01,8.78
Jennifer Summers,Male,3/18/1916,Eastern University,1st,3.57,Kinesthetic,6.99,4,Master's,Low,No,2.63,9.47
April Snyder,Male,10/8/1923,University of Colombo,4th,2.48,Visual,29.96,9,Ph.D.,High,Yes,0.38,8.22
Dana Nguyen,Male,3/24/1945,Eastern University,1st,2.29,Kinesthetic,14.68,3,Ph.D.,Low,No,4.03,8.72
Cheryl Bradley,Male,9/10/1941,University of Ruhuna,3rd,3.25,Visual,17.57,7,Master's,Medium,Yes,0.61,7.89
Walter Pratt,Male,11/24/2001,University of Ruhuna,3rd,3.34,Auditory,11.44,9,Ph.D.,High,No,2.16,7.66
Bobby Flores,Female,10/1/1947,University of Ruhuna,4th,3.63,Visual,25.37,3,Ph.D.,High,No,4.05,8.35
Tasha Rodriguez,Female,9/19/1926,University of Colombo,2nd,2.46,Auditory,28.34,1,Ph.D.,High,Yes,4.05,5.47
Michelle Kelley,Male,1/28/2021,University of Colombo,1st,3.47,Auditory,16.1,2,High School,Medium,Yes,2.72,8.41
Kimberly Maynard,Female,8/29/1989,University of Kelaniya,2nd,3.84,Kinesthetic,21.63,3,Ph.D.,Medium,No,2.92,6.59
Laurie Wallace,Female,1/28/2001,University of Peradeniya,4th,2.59,Kinesthetic,29.58,1,High School,Medium,Yes,3.52,8.16
Janice Johnston,Male,7/27/1965,University of Ruhuna,3rd,2.19,Kinesthetic,6.55,3,Bachelor's,Low,No,4.65,5.44
Collin Lopez,Male,2/18/1919,Eastern University,3rd,3.21,Kinesthetic,20.75,2,Master's,High,Yes,1.72,8.18
Mary Alvarez,Female,11/25/1975,University of Jaffna,3rd,3.99,Visual,25.07,6,High School,Medium,No,1.3,8.12
Peter Mcdowell,Male,6/26/1959,University of Peradeniya,4th,2.6,Kinesthetic,12.75,3,Ph.D.,Low,Yes,1.39,8.33
Sarah Villanueva,Female,10/14/1944,University of Kelaniya,1st,3.38,Auditory,13.7,7,Master's,Medium,Yes,1.67,9.78
Kimberly Myers,Male,1/15/1918,Eastern University,1st,3.56,Kinesthetic,8.28,3,Bachelor's,Medium,No,3.86,4.49
Desiree Cain,Male,7/24/1944,Rajarata University,4th,2.83,Visual,9.29,1,Master's,High,Yes,3.48,7.38
Stephanie Lawrence,Male,6/25/1939,University of Kelaniya,4th,3.74,Auditory,17.87,8,Bachelor's,Medium,No,0.39,8.39
Lauren Hayes,Male,3/21/1949,University of Ruhuna,2nd,3.5,Auditory,28.61,7,High School,Medium,No,4.17,5.28
Whitney Stark,Male,8/22/1990,University of Ruhuna,3rd,2.57,Visual,19.51,8,High School,Low,No,1.42,4.42
Angela Salazar,Female,6/3/1921,Rajarata University,2nd,2.83,Auditory,12.18,10,Other,High,Yes,4.04,8.62
Mr. Ryan Sanchez,Male,11/3/1951,Sabaragamuwa University,1st,2.52,Kinesthetic,5.17,6,Master's,Medium,No,3.79,4.14
